[2026-02-21 22:19:00] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AV_UEgLlpK7wk6n6vwhdD0p"}
[2026-02-21 22:19:36] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ATDOGm1XwxRqbxPG2dkDSep"}
[2026-02-21 22:19:36] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A1mqnenEn0rOju-YxCgfJ4S"}
[2026-02-21 22:20:20] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AX6otSYKQqPyiQrMZBhQ2fn"}
[2026-02-21 22:20:20] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AKIr6ugLFxbUFXFtZx0mPC0"}
[2026-02-21 22:20:44] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AD4Gx0o0Krg17ygTnH07yYE"}
[2026-02-21 22:20:44] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AlX4kucSEFoU06SEsJom9L2"}
[2026-02-21 22:21:02] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ALciJbNVVo7xAab9qGfxp7u"}
[2026-02-21 22:22:16] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A2eqWeSqrFKzBhjB3QsuqVI"}
[2026-02-21 22:22:16] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AoMNXWV2JUdd_iZ9R0IXSoo"}
[2026-02-21 22:28:22] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"APE7EpjEhsL2SXCfcZow88L"}
[2026-02-21 22:28:22] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ALtzS-qJGO9bj6HrqJXb6go"}
[2026-02-21 22:28:22] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ACo4Lcq1zsx2DH_dPxNERDn"}
[2026-02-21 22:28:22] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AHOENRCv8HLHEEYrr7Fruf6"}
[2026-02-21 22:28:22] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AV9REV2zMq49O8UzwZFYRWI"}
[2026-02-21 22:28:22] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AZxN2sLzdTcrhRg3d9YZfwC"}
